Date,Energy Added (kWh)
30.06.2024,30.64
01.07.2024,19.0
02.07.2024,0.0
03.07.2024,0.0
04.07.2024,0.0
05.07.2024,25.38
06.07.2024,0.0
07.07.2024,0.0
08.07.2024,17.0
09.07.2024,19.14
10.07.2024,0.0
11.07.2024,23.38
12.07.2024,0.0
13.07.2024,0.0
14.07.2024,18.62
15.07.2024,5.0
16.07.2024,14.38
17.07.2024,28.619999999999997
18.07.2024,28.759999999999998
19.07.2024,0.0
20.07.2024,25.38
21.07.2024,0.0
22.07.2024,6.76
23.07.2024,8.74
24.07.2024,32.5
25.07.2024,0.0
26.07.2024,0.0
27.07.2024,28.26
28.07.2024,0.0
29.07.2024,0.0
30.07.2024,0.0
31.07.2024,0.0
01.08.2024,0.0
02.08.2024,0.0
03.08.2024,18.0
04.08.2024,0.12
05.08.2024,0.0
06.08.2024,0.0
07.08.2024,0.0
08.08.2024,0.0
09.08.2024,36.26
10.08.2024,0.0
11.08.2024,0.0
12.08.2024,0.0
13.08.2024,22.0
14.08.2024,0.0
15.08.2024,17.12
16.08.2024,0.0
17.08.2024,0.0
18.08.2024,13.88
19.08.2024,0.0
20.08.2024,0.0
21.08.2024,0.0
22.08.2024,0.0
23.08.2024,0.0
24.08.2024,33.879999999999995
25.08.2024,0.0
26.08.2024,11.14
27.08.2024,0.0
28.08.2024,0.0
29.08.2024,16.5
30.08.2024,0.0
31.08.2024,18.0
01.09.2024,0.0
02.09.2024,0.0
03.09.2024,0.0
04.09.2024,0.0
05.09.2024,17.38
06.09.2024,0.0
07.09.2024,0.0
08.09.2024,24.38
09.09.2024,15.12
10.09.2024,0.0
11.09.2024,21.12
12.09.2024,10.64
13.09.2024,111.16
14.09.2024,0.0
15.09.2024,151.74
16.09.2024,37.76
17.09.2024,0.0
18.09.2024,0.0
19.09.2024,0.0
20.09.2024,0.0
21.09.2024,0.0
22.09.2024,138.64
23.09.2024,0.0
24.09.2024,0.0
25.09.2024,0.0
26.09.2024,0.0
27.09.2024,31.38
28.09.2024,0.0
29.09.2024,13.14
30.09.2024,0.0
01.10.2024,0.0
02.10.2024,0.0
03.10.2024,0.0
04.10.2024,37.88
05.10.2024,0.0
06.10.2024,8.38
07.10.2024,0.0
08.10.2024,0.0
09.10.2024,0.0
10.10.2024,0.0
11.10.2024,25.62
12.10.2024,0.0
13.10.2024,19.5
14.10.2024,0.0
15.10.2024,0.0
16.10.2024,0.0
17.10.2024,0.0
18.10.2024,36.76
19.10.2024,0.0
20.10.2024,5.12
21.10.2024,9.76
22.10.2024,0.0
23.10.2024,0.0
24.10.2024,0.0
25.10.2024,32.14
26.10.2024,0.0
27.10.2024,0.0
28.10.2024,7.38
29.10.2024,0.0
30.10.2024,0.0
31.10.2024,0.0
01.11.2024,0.0
02.11.2024,0.0
03.11.2024,5.24
04.11.2024,29.14
05.11.2024,0.0
06.11.2024,0.0
